Alpenglow LLM — 16-hop structural transitive reasoning training run
────────────────────────────────────────────────────────────────────
Date: 2026-04-09
Hardware: Apple M4 Mac mini, 16 GB unified memory
Model: 99,844 trainable parameters
Training set: 4,000 samples
Test set: 1,000 samples
Task: 16-hop structural transitive reasoning, binary classification
Chain length: 17 items per chain / 16 transitive edges
Vocabulary: 60 items
Inference mode (at test time): single forward pass, no chain-of-thought
Training schedule: cosine-annealed learning rate, 1000 epochs

Columns: epoch / train-loss / train-accuracy / test-accuracy / confusion-matrix / learning-rate / epoch-time / ETA-to-end

────────────────────────────────────────────────────────────────────

  epoch    1/1000 | trL=0.693 trA= 50.0% | teA= 46.8% | [TN=440 FN=505 FP= 27 TP= 28] | lr=1.00e-5 | ep=7.99s | eta=133.1m  ★ new best
  epoch   25/1000 | trL=0.670 trA= 59.3% | teA= 72.1% | [TN=259 FN= 71 FP=208 TP=462] | lr=4.81e-3 | ep=8.12s | eta=133.3m  ★ new best
  epoch   26/1000 | trL=0.670 trA= 59.7% | teA= 60.1% | [TN=441 FN=373 FP= 26 TP=160] | lr=5.00e-3 | ep=8.37s | eta=133.2m
  epoch   27/1000 | trL=0.667 trA= 60.9% | teA= 54.8% | [TN= 16 FN=  1 FP=451 TP=532] | lr=5.20e-3 | ep=8.15s | eta=133.1m
  epoch   28/1000 | trL=0.664 trA= 60.4% | teA= 46.7% | [TN=467 FN=533 FP=  0 TP=  0] | lr=5.40e-3 | ep=8.19s | eta=132.9m
  epoch   29/1000 | trL=0.661 trA= 61.4% | teA= 48.6% | [TN=466 FN=513 FP=  1 TP= 20] | lr=5.60e-3 | ep=8.55s | eta=133.0m
  epoch   30/1000 | trL=0.656 trA= 61.6% | teA= 68.1% | [TN=425 FN=277 FP= 42 TP=256] | lr=5.80e-3 | ep=8.34s | eta=132.9m
  epoch   31/1000 | trL=0.655 trA= 63.3% | teA= 46.7% | [TN=467 FN=533 FP=  0 TP=  0] | lr=6.00e-3 | ep=8.22s | eta=132.8m
  epoch   32/1000 | trL=0.655 trA= 63.2% | teA= 46.8% | [TN=467 FN=532 FP=  0 TP=  1] | lr=6.20e-3 | ep=7.86s | eta=132.5m
  epoch   33/1000 | trL=0.651 trA= 64.1% | teA= 47.4% | [TN=467 FN=526 FP=  0 TP=  7] | lr=6.40e-3 | ep=8.20s | eta=132.3m
  epoch   34/1000 | trL=0.649 trA= 62.2% | teA= 69.3% | [TN=419 FN=259 FP= 48 TP=274] | lr=6.60e-3 | ep=7.92s | eta=132.0m
  epoch   35/1000 | trL=0.641 trA= 66.1% | teA= 53.3% | [TN=  0 FN=  0 FP=467 TP=533] | lr=6.80e-3 | ep=7.82s | eta=131.7m
  epoch   36/1000 | trL=0.645 trA= 63.7% | teA= 56.6% | [TN=456 FN=423 FP= 11 TP=110] | lr=7.00e-3 | ep=7.80s | eta=131.4m
  epoch   37/1000 | trL=0.640 trA= 65.6% | teA= 58.7% | [TN=452 FN=398 FP= 15 TP=135] | lr=7.20e-3 | ep=7.95s | eta=131.2m
  epoch   38/1000 | trL=0.634 trA= 66.0% | teA= 46.9% | [TN=467 FN=531 FP=  0 TP=  2] | lr=7.40e-3 | ep=8.11s | eta=131.0m
  epoch   39/1000 | trL=0.629 trA= 66.5% | teA= 76.2% | [TN=315 FN= 86 FP=152 TP=447] | lr=7.60e-3 | ep=7.80s | eta=130.7m  ★ new best
  epoch   40/1000 | trL=0.632 trA= 67.0% | teA= 59.8% | [TN= 69 FN=  4 FP=398 TP=529] | lr=7.80e-3 | ep=7.80s | eta=130.4m
  epoch   41/1000 | trL=0.627 trA= 67.8% | teA= 77.5% | [TN=343 FN=101 FP=124 TP=432] | lr=8.00e-3 | ep=7.82s | eta=130.2m  ★ new best
  epoch   42/1000 | trL=0.620 trA= 68.0% | teA= 77.0% | [TN=331 FN= 94 FP=136 TP=439] | lr=8.20e-3 | ep=7.81s | eta=129.9m
  epoch   43/1000 | trL=0.620 trA= 68.5% | teA= 55.5% | [TN= 23 FN=  1 FP=444 TP=532] | lr=8.40e-3 | ep=7.78s | eta=129.6m
  epoch   44/1000 | trL=0.615 trA= 69.0% | teA= 70.3% | [TN=193 FN= 23 FP=274 TP=510] | lr=8.60e-3 | ep=7.92s | eta=129.4m
  epoch   45/1000 | trL=0.611 trA= 69.3% | teA= 54.0% | [TN=  7 FN=  0 FP=460 TP=533] | lr=8.80e-3 | ep=7.86s | eta=129.2m
  epoch   46/1000 | trL=0.608 trA= 69.0% | teA= 77.9% | [TN=347 FN=101 FP=120 TP=432] | lr=9.00e-3 | ep=7.78s | eta=129.0m  ★ new best
  epoch   47/1000 | trL=0.605 trA= 70.7% | teA= 69.5% | [TN=180 FN= 18 FP=287 TP=515] | lr=9.20e-3 | ep=7.81s | eta=128.7m
  epoch   48/1000 | trL=0.602 trA= 71.1% | teA= 77.8% | [TN=330 FN= 85 FP=137 TP=448] | lr=9.40e-3 | ep=7.81s | eta=128.5m
  epoch   49/1000 | trL=0.598 trA= 71.3% | teA= 66.0% | [TN=137 FN= 10 FP=330 TP=523] | lr=9.60e-3 | ep=7.82s | eta=128.3m
  epoch   50/1000 | trL=0.594 trA= 70.7% | teA= 60.1% | [TN= 71 FN=  3 FP=396 TP=530] | lr=9.80e-3 | ep=7.81s | eta=128.0m
  epoch   51/1000 | trL=0.593 trA= 73.1% | teA= 62.5% | [TN= 98 FN=  6 FP=369 TP=527] | lr=1.00e-2 | ep=8.24s | eta=128.0m
  epoch   52/1000 | trL=0.586 trA= 73.0% | teA= 56.0% | [TN= 28 FN=  1 FP=439 TP=532] | lr=1.00e-2 | ep=8.22s | eta=127.9m
  epoch   53/1000 | trL=0.584 trA= 73.5% | teA= 70.5% | [TN=188 FN= 16 FP=279 TP=517] | lr=1.00e-2 | ep=7.92s | eta=127.7m
  epoch   54/1000 | trL=0.579 trA= 74.5% | teA= 47.7% | [TN=467 FN=523 FP=  0 TP= 10] | lr=1.00e-2 | ep=8.12s | eta=127.5m
  epoch   55/1000 | trL=0.572 trA= 74.3% | teA= 47.7% | [TN=467 FN=523 FP=  0 TP= 10] | lr=1.00e-2 | ep=8.49s | eta=127.5m
  epoch   56/1000 | trL=0.571 trA= 74.8% | teA= 72.5% | [TN=213 FN= 21 FP=254 TP=512] | lr=1.00e-2 | ep=8.16s | eta=127.4m
  epoch   57/1000 | trL=0.566 trA= 75.7% | teA= 75.9% | [TN=413 FN=187 FP= 54 TP=346] | lr=1.00e-2 | ep=8.19s | eta=127.3m
  epoch   58/1000 | trL=0.560 trA= 77.8% | teA= 73.4% | [TN=225 FN= 24 FP=242 TP=509] | lr=1.00e-2 | ep=8.08s | eta=127.2m
  epoch   59/1000 | trL=0.561 trA= 76.4% | teA= 62.4% | [TN= 97 FN=  6 FP=370 TP=527] | lr=1.00e-2 | ep=8.03s | eta=127.0m
  epoch   60/1000 | trL=0.555 trA= 76.9% | teA= 64.5% | [TN=449 FN=337 FP= 18 TP=196] | lr=1.00e-2 | ep=8.08s | eta=126.9m
  epoch   61/1000 | trL=0.552 trA= 77.7% | teA= 49.6% | [TN=466 FN=503 FP=  1 TP= 30] | lr=1.00e-2 | ep=7.89s | eta=126.7m
  epoch   62/1000 | trL=0.545 trA= 79.3% | teA= 61.7% | [TN=456 FN=372 FP= 11 TP=161] | lr=1.00e-2 | ep=7.89s | eta=126.5m
  epoch   63/1000 | trL=0.542 trA= 79.1% | teA= 55.8% | [TN=465 FN=440 FP=  2 TP= 93] | lr=1.00e-2 | ep=7.93s | eta=126.3m
  epoch   64/1000 | trL=0.543 trA= 79.2% | teA= 47.5% | [TN=467 FN=525 FP=  0 TP=  8] | lr=1.00e-2 | ep=8.08s | eta=126.2m
  epoch   65/1000 | trL=0.536 trA= 79.2% | teA= 76.0% | [TN=264 FN= 37 FP=203 TP=496] | lr=9.99e-3 | ep=8.15s | eta=126.1m
  epoch   66/1000 | trL=0.539 trA= 80.5% | teA= 71.9% | [TN=436 FN=250 FP= 31 TP=283] | lr=9.99e-3 | ep=8.29s | eta=126.0m
  epoch   67/1000 | trL=0.531 trA= 80.5% | teA= 58.8% | [TN=459 FN=404 FP=  8 TP=129] | lr=9.99e-3 | ep=8.10s | eta=125.8m
  epoch   68/1000 | trL=0.529 trA= 80.9% | teA= 79.6% | [TN=322 FN= 59 FP=145 TP=474] | lr=9.99e-3 | ep=7.83s | eta=125.6m  ★ new best
  epoch   69/1000 | trL=0.529 trA= 79.4% | teA= 72.4% | [TN=437 FN=246 FP= 30 TP=287] | lr=9.99e-3 | ep=7.96s | eta=125.5m
  epoch   70/1000 | trL=0.521 trA= 82.5% | teA= 80.8% | [TN=346 FN= 71 FP=121 TP=462] | lr=9.99e-3 | ep=8.12s | eta=125.3m  ★ new best
  epoch   71/1000 | trL=0.521 trA= 81.8% | teA= 80.2% | [TN=394 FN=125 FP= 73 TP=408] | lr=9.99e-3 | ep=8.37s | eta=125.3m
  epoch   72/1000 | trL=0.515 trA= 82.9% | teA= 75.7% | [TN=431 FN=207 FP= 36 TP=326] | lr=9.99e-3 | ep=8.40s | eta=125.2m
  epoch   73/1000 | trL=0.513 trA= 83.0% | teA= 78.2% | [TN=416 FN=167 FP= 51 TP=366] | lr=9.99e-3 | ep=7.96s | eta=125.0m
  epoch   74/1000 | trL=0.511 trA= 83.1% | teA= 67.0% | [TN=144 FN=  7 FP=323 TP=526] | lr=9.99e-3 | ep=8.08s | eta=124.9m
  epoch   75/1000 | trL=0.510 trA= 84.4% | teA= 65.8% | [TN=132 FN=  7 FP=335 TP=526] | lr=9.98e-3 | ep=8.26s | eta=124.8m
  epoch   76/1000 | trL=0.504 trA= 82.9% | teA= 72.5% | [TN=440 FN=248 FP= 27 TP=285] | lr=9.98e-3 | ep=8.10s | eta=124.7m
  epoch   77/1000 | trL=0.505 trA= 83.2% | teA= 78.8% | [TN=415 FN=160 FP= 52 TP=373] | lr=9.98e-3 | ep=8.44s | eta=124.6m
  epoch   78/1000 | trL=0.500 trA= 83.9% | teA= 57.7% | [TN=463 FN=419 FP=  4 TP=114] | lr=9.98e-3 | ep=8.01s | eta=124.5m
  epoch   79/1000 | trL=0.499 trA= 83.5% | teA= 80.4% | [TN=324 FN= 53 FP=143 TP=480] | lr=9.98e-3 | ep=7.87s | eta=124.3m
  epoch   80/1000 | trL=0.496 trA= 84.8% | teA= 78.3% | [TN=420 FN=170 FP= 47 TP=363] | lr=9.98e-3 | ep=7.80s | eta=124.1m
  epoch   81/1000 | trL=0.492 trA= 84.7% | teA= 81.8% | [TN=364 FN= 79 FP=103 TP=454] | lr=9.98e-3 | ep=7.83s | eta=123.9m  ★ new best
  epoch   82/1000 | trL=0.488 trA= 84.9% | teA= 66.7% | [TN=454 FN=320 FP= 13 TP=213] | lr=9.97e-3 | ep=8.06s | eta=123.8m
  epoch   83/1000 | trL=0.486 trA= 85.6% | teA= 77.0% | [TN=435 FN=198 FP= 32 TP=335] | lr=9.97e-3 | ep=7.81s | eta=123.6m
  epoch   84/1000 | trL=0.485 trA= 85.6% | teA= 74.3% | [TN=226 FN= 16 FP=241 TP=517] | lr=9.97e-3 | ep=7.81s | eta=123.4m
  epoch   85/1000 | trL=0.481 trA= 85.1% | teA= 70.2% | [TN=446 FN=277 FP= 21 TP=256] | lr=9.97e-3 | ep=7.81s | eta=123.2m
  epoch   86/1000 | trL=0.480 trA= 85.1% | teA= 79.0% | [TN=428 FN=171 FP= 39 TP=362] | lr=9.97e-3 | ep=7.81s | eta=123.0m
  epoch   87/1000 | trL=0.475 trA= 87.2% | teA= 75.7% | [TN=244 FN= 20 FP=223 TP=513] | lr=9.96e-3 | ep=7.81s | eta=122.8m
  epoch   88/1000 | trL=0.473 trA= 86.3% | teA= 81.1% | [TN=409 FN=131 FP= 58 TP=402] | lr=9.96e-3 | ep=7.96s | eta=122.7m
  epoch   89/1000 | trL=0.469 trA= 86.8% | teA= 57.8% | [TN=466 FN=421 FP=  1 TP=112] | lr=9.96e-3 | ep=8.20s | eta=122.6m
  epoch   90/1000 | trL=0.470 trA= 87.1% | teA= 82.2% | [TN=384 FN= 95 FP= 83 TP=438] | lr=9.96e-3 | ep=8.42s | eta=122.5m  ★ new best
  epoch   91/1000 | trL=0.464 trA= 87.0% | teA= 61.6% | [TN=460 FN=377 FP=  7 TP=156] | lr=9.96e-3 | ep=8.37s | eta=122.4m
  epoch   92/1000 | trL=0.461 trA= 88.1% | teA= 69.7% | [TN=171 FN=  7 FP=296 TP=526] | lr=9.95e-3 | ep=7.98s | eta=122.3m
  epoch   93/1000 | trL=0.465 trA= 87.9% | teA= 82.2% | [TN=337 FN= 48 FP=130 TP=485] | lr=9.95e-3 | ep=7.99s | eta=122.1m
  epoch   94/1000 | trL=0.460 trA= 88.0% | teA= 81.2% | [TN=417 FN=138 FP= 50 TP=395] | lr=9.95e-3 | ep=7.89s | eta=121.9m
  epoch   95/1000 | trL=0.456 trA= 87.8% | teA= 83.6% | [TN=375 FN= 72 FP= 92 TP=461] | lr=9.95e-3 | ep=7.88s | eta=121.8m  ★ new best
  epoch   96/1000 | trL=0.454 trA= 88.4% | teA= 81.7% | [TN=317 FN= 33 FP=150 TP=500] | lr=9.94e-3 | ep=7.84s | eta=121.6m
  epoch   97/1000 | trL=0.451 trA= 87.9% | teA= 82.7% | [TN=342 FN= 48 FP=125 TP=485] | lr=9.94e-3 | ep=8.09s | eta=121.5m
  epoch   98/1000 | trL=0.449 trA= 88.1% | teA= 70.8% | [TN=182 FN=  7 FP=285 TP=526] | lr=9.94e-3 | ep=7.89s | eta=121.3m
  epoch   99/1000 | trL=0.449 trA= 89.1% | teA= 71.9% | [TN=450 FN=264 FP= 17 TP=269] | lr=9.94e-3 | ep=7.82s | eta=121.1m
  epoch  100/1000 | trL=0.448 trA= 88.7% | teA= 82.0% | [TN=419 FN=132 FP= 48 TP=401] | lr=9.93e-3 | ep=7.82s | eta=121.0m
  epoch  101/1000 | trL=0.442 trA= 89.0% | teA= 76.0% | [TN=243 FN= 16 FP=224 TP=517] | lr=9.93e-3 | ep=7.91s | eta=120.8m
  epoch  102/1000 | trL=0.441 trA= 89.7% | teA= 81.2% | [TN=422 FN=143 FP= 45 TP=390] | lr=9.93e-3 | ep=7.85s | eta=120.6m
  epoch  103/1000 | trL=0.440 trA= 89.7% | teA= 71.2% | [TN=453 FN=274 FP= 14 TP=259] | lr=9.93e-3 | ep=7.82s | eta=120.5m
  epoch  104/1000 | trL=0.434 trA= 89.8% | teA= 75.0% | [TN=229 FN= 12 FP=238 TP=521] | lr=9.92e-3 | ep=9.31s | eta=120.5m
  epoch  105/1000 | trL=0.437 trA= 90.0% | teA= 79.3% | [TN=441 FN=181 FP= 26 TP=352] | lr=9.92e-3 | ep=8.16s | eta=120.4m
  epoch  106/1000 | trL=0.432 trA= 91.0% | teA= 83.7% | [TN=408 FN=104 FP= 59 TP=429] | lr=9.92e-3 | ep=8.20s | eta=120.3m  ★ new best
  epoch  107/1000 | trL=0.431 trA= 90.2% | teA= 81.7% | [TN=424 FN=140 FP= 43 TP=393] | lr=9.91e-3 | ep=7.93s | eta=120.1m
  epoch  108/1000 | trL=0.430 trA= 90.6% | teA= 69.4% | [TN=456 FN=295 FP= 11 TP=238] | lr=9.91e-3 | ep=7.90s | eta=120.0m
  epoch  109/1000 | trL=0.427 trA= 89.9% | teA= 85.2% | [TN=374 FN= 55 FP= 93 TP=478] | lr=9.91e-3 | ep=7.99s | eta=119.8m  ★ new best
  epoch  110/1000 | trL=0.425 trA= 90.4% | teA= 79.4% | [TN=441 FN=180 FP= 26 TP=353] | lr=9.91e-3 | ep=7.92s | eta=119.7m
  epoch  111/1000 | trL=0.422 trA= 90.9% | teA= 81.2% | [TN=431 FN=152 FP= 36 TP=381] | lr=9.90e-3 | ep=7.93s | eta=119.5m
  epoch  112/1000 | trL=0.422 trA= 91.1% | teA= 81.2% | [TN=431 FN=152 FP= 36 TP=381] | lr=9.90e-3 | ep=8.35s | eta=119.4m
  epoch  113/1000 | trL=0.419 trA= 91.1% | teA= 84.2% | [TN=394 FN= 85 FP= 73 TP=448] | lr=9.90e-3 | ep=8.18s | eta=119.3m
  epoch  114/1000 | trL=0.417 trA= 91.4% | teA= 84.4% | [TN=399 FN= 88 FP= 68 TP=445] | lr=9.89e-3 | ep=7.96s | eta=119.2m
  epoch  115/1000 | trL=0.415 trA= 91.3% | teA= 83.2% | [TN=329 FN= 30 FP=138 TP=503] | lr=9.89e-3 | ep=7.87s | eta=119.0m
  epoch  116/1000 | trL=0.409 trA= 91.8% | teA= 83.6% | [TN=338 FN= 35 FP=129 TP=498] | lr=9.89e-3 | ep=7.83s | eta=118.8m
  epoch  117/1000 | trL=0.411 trA= 91.6% | teA= 84.5% | [TN=417 FN=105 FP= 50 TP=428] | lr=9.88e-3 | ep=7.82s | eta=118.7m
  epoch  118/1000 | trL=0.409 trA= 91.7% | teA= 72.9% | [TN=454 FN=258 FP= 13 TP=275] | lr=9.88e-3 | ep=7.81s | eta=118.5m
  epoch  119/1000 | trL=0.410 trA= 91.3% | teA= 76.2% | [TN=240 FN= 11 FP=227 TP=522] | lr=9.87e-3 | ep=8.04s | eta=118.4m
  epoch  120/1000 | trL=0.407 trA= 91.9% | teA= 74.0% | [TN=454 FN=247 FP= 13 TP=286] | lr=9.87e-3 | ep=7.84s | eta=118.2m
  epoch  121/1000 | trL=0.404 trA= 92.3% | teA= 86.2% | [TN=377 FN= 48 FP= 90 TP=485] | lr=9.87e-3 | ep=7.83s | eta=118.0m  ★ new best
  epoch  122/1000 | trL=0.403 trA= 91.8% | teA= 75.6% | [TN=453 FN=230 FP= 14 TP=303] | lr=9.86e-3 | ep=7.85s | eta=117.9m
  epoch  123/1000 | trL=0.401 trA= 92.0% | teA= 68.7% | [TN=457 FN=303 FP= 10 TP=230] | lr=9.86e-3 | ep=7.84s | eta=117.7m
  epoch  124/1000 | trL=0.401 trA= 92.1% | teA= 84.3% | [TN=419 FN=109 FP= 48 TP=424] | lr=9.86e-3 | ep=7.83s | eta=117.6m
  epoch  125/1000 | trL=0.397 trA= 92.7% | teA= 79.3% | [TN=444 FN=184 FP= 23 TP=349] | lr=9.85e-3 | ep=7.84s | eta=117.4m
  epoch  126/1000 | trL=0.395 trA= 92.3% | teA= 86.5% | [TN=379 FN= 47 FP= 88 TP=486] | lr=9.85e-3 | ep=7.84s | eta=117.2m  ★ new best
  epoch  127/1000 | trL=0.393 trA= 91.8% | teA= 78.1% | [TN=260 FN= 12 FP=207 TP=521] | lr=9.84e-3 | ep=8.18s | eta=117.1m
  epoch  128/1000 | trL=0.392 trA= 92.4% | teA= 84.5% | [TN=419 FN=107 FP= 48 TP=426] | lr=9.84e-3 | ep=8.43s | eta=117.0m
  epoch  129/1000 | trL=0.391 trA= 92.9% | teA= 85.9% | [TN=398 FN= 72 FP= 69 TP=461] | lr=9.83e-3 | ep=8.16s | eta=116.9m
  epoch  130/1000 | trL=0.389 trA= 93.2% | teA= 84.2% | [TN=422 FN=113 FP= 45 TP=420] | lr=9.83e-3 | ep=7.94s | eta=116.8m
  epoch  131/1000 | trL=0.387 trA= 93.0% | teA= 79.9% | [TN=445 FN=179 FP= 22 TP=354] | lr=9.83e-3 | ep=7.85s | eta=116.6m
  epoch  132/1000 | trL=0.385 trA= 92.6% | teA= 86.2% | [TN=405 FN= 76 FP= 62 TP=457] | lr=9.82e-3 | ep=7.84s | eta=116.5m
  epoch  133/1000 | trL=0.383 trA= 93.0% | teA= 86.2% | [TN=405 FN= 76 FP= 62 TP=457] | lr=9.82e-3 | ep=7.83s | eta=116.3m
  epoch  134/1000 | trL=0.383 trA= 93.1% | teA= 79.3% | [TN=448 FN=188 FP= 19 TP=345] | lr=9.81e-3 | ep=7.93s | eta=116.1m
  epoch  135/1000 | trL=0.379 trA= 93.8% | teA= 86.4% | [TN=370 FN= 39 FP= 97 TP=494] | lr=9.81e-3 | ep=7.93s | eta=116.0m
  epoch  136/1000 | trL=0.378 trA= 93.7% | teA= 85.9% | [TN=413 FN= 87 FP= 54 TP=446] | lr=9.80e-3 | ep=7.83s | eta=115.8m
  epoch  137/1000 | trL=0.379 trA= 93.5% | teA= 76.5% | [TN=454 FN=222 FP= 13 TP=311] | lr=9.80e-3 | ep=7.86s | eta=115.7m
  epoch  138/1000 | trL=0.376 trA= 93.8% | teA= 60.0% | [TN=466 FN=399 FP=  1 TP=134] | lr=9.79e-3 | ep=7.83s | eta=115.5m
  epoch  139/1000 | trL=0.375 trA= 93.5% | teA= 83.7% | [TN=325 FN= 21 FP=142 TP=512] | lr=9.79e-3 | ep=7.82s | eta=115.4m
  epoch  140/1000 | trL=0.373 trA= 93.8% | teA= 83.2% | [TN=319 FN= 20 FP=148 TP=513] | lr=9.79e-3 | ep=7.80s | eta=115.2m
  epoch  141/1000 | trL=0.373 trA= 93.6% | teA= 84.4% | [TN=433 FN=122 FP= 34 TP=411] | lr=9.78e-3 | ep=8.14s | eta=115.1m
  epoch  142/1000 | trL=0.371 trA= 93.9% | teA= 85.2% | [TN=419 FN=100 FP= 48 TP=433] | lr=9.78e-3 | ep=8.28s | eta=115.0m
  epoch  143/1000 | trL=0.370 trA= 94.2% | teA= 81.1% | [TN=445 FN=167 FP= 22 TP=366] | lr=9.77e-3 | ep=7.84s | eta=114.8m
  epoch  144/1000 | trL=0.367 trA= 93.9% | teA= 87.0% | [TN=391 FN= 54 FP= 76 TP=479] | lr=9.77e-3 | ep=7.82s | eta=114.7m  ★ new best
  epoch  145/1000 | trL=0.365 trA= 94.6% | teA= 84.1% | [TN=335 FN= 27 FP=132 TP=506] | lr=9.76e-3 | ep=7.82s | eta=114.5m
  epoch  146/1000 | trL=0.364 trA= 94.6% | teA= 86.5% | [TN=415 FN= 83 FP= 52 TP=450] | lr=9.76e-3 | ep=7.88s | eta=114.4m
  epoch  147/1000 | trL=0.362 trA= 94.3% | teA= 86.5% | [TN=415 FN= 83 FP= 52 TP=450] | lr=9.75e-3 | ep=7.98s | eta=114.2m
  epoch  148/1000 | trL=0.362 trA= 94.5% | teA= 86.4% | [TN=367 FN= 36 FP=100 TP=497] | lr=9.75e-3 | ep=7.85s | eta=114.1m
  epoch  149/1000 | trL=0.360 trA= 94.5% | teA= 80.7% | [TN=286 FN= 12 FP=181 TP=521] | lr=9.74e-3 | ep=7.87s | eta=113.9m
  epoch  150/1000 | trL=0.359 trA= 94.9% | teA= 86.0% | [TN=417 FN= 90 FP= 50 TP=443] | lr=9.73e-3 | ep=7.92s | eta=113.8m
  epoch  151/1000 | trL=0.358 trA= 94.5% | teA= 82.4% | [TN=306 FN= 15 FP=161 TP=518] | lr=9.73e-3 | ep=7.83s | eta=113.6m
  epoch  152/1000 | trL=0.356 trA= 94.5% | teA= 67.5% | [TN=463 FN=321 FP=  4 TP=212] | lr=9.72e-3 | ep=7.80s | eta=113.5m
